i,ac,ai
0,206.69686377295798,1.4566812047822169
1,13378.573867372868,-29.955674996138722
2,374024.4661057529,514.177915558748
3,-4666973.579437832,-4603.537631653331
4,26743387.826985743,23602.58544622609
5,-85209873.64535026,-74117.12523331452
6,160599563.90689927,147341.2790253184
7,-181744612.2172421,-186075.58234590944
8,119887353.03244144,144679.31857192027
9,-41676640.99114595,-63159.407888543894
10,5691664.9346652655,11847.137936623416
