posx,posy,posz,tanx,tany,tanz,normx,normy,normz,binormx,binormy,binormz
-0.19680697728944802,0.7358589606207648,-0.014307708032908933,-0.915291063041825,-0.20867904620812058,-0.3445218796962465,0.2570560415682144,-0.9611294994459353,-0.10075850727400662,-0.31010395258533247,-0.1807847918616907,0.9333554508452174
-0.19886001617179883,0.73538967884326,-0.015076799366008427,-0.9161168638103261,-0.20995232164277455,-0.34154050196007685,0.2595632319754222,-0.9598718006591078,-0.10617464342259461,-0.30554348372826706,-0.18591973788775265,0.9338506468461344
-0.20090075185661366,0.7349207379944085,-0.01583395753469678,-0.9169216482522304,-0.21127140456108046,-0.33855440416748583,0.26204443420046675,-0.958592176436372,-0.11150674320208993,-0.3009774168786921,-0.19095924405424347,0.9343164140906772
-0.20292906064753463,0.734452090403535,-0.016579248647859965,-0.9177045222161246,-0.21263461620005492,-0.3355665804241083,0.2644997300875764,-0.9572920657795975,-0.11675527216802797,-0.2964090124940085,-0.19590411120976134,0.9347530564397424
-0.20494482065901304,0.7339836938121437,-0.017312747108712147,-0.918464641189223,-0.21404020702056856,-0.33258005451882444,0.2669292108565063,-0.9559728688962273,-0.1219207542867052,-0.291841565368394,-0.20075523333878176,0.9351608615689692
-0.20694791194052742,0.7335155114290786,-0.018034535436232797,-0.9192012110495598,-0.21548635902380042,-0.3295978802718377,0.26933297618664925,-0.9546359464068431,-0.1270037706776958,-0.28727840424136475,-0.20551359785322348,0.9355401004521178
-0.20893821659766793,0.7330475119735433,-0.01874470408440335,-0.9199134887047795,-0.21697118805971827,-0.32662314194030384,0.2717111333158438,-0.9532826186423653,-0.13200495834086862,-0.28272289141705803,-0.2101802858174592,0.9358910268415174
-0.2109156189098612,0.7325796697062931,-0.01944335125955038,-0.9206007826140556,-0.2184927461190338,-0.32365895467876615,0.27406379615562054,-0.9519141650289173,-0.1369250088700732,-0.27817842239677454,-0.21475647210424847,0.9362138767408753
-0.21288000544452274,0.7321119644493185,-0.020130582736072832,-0.9212624531896285,-0.22004902359992914,-0.3207084650515874,0.2763910844244655,-0.9505318235582514,-0.1417646671554426,-0.273648425527529,-0.21924342547894826,0.936508867865415
-0.21483126516743906,0.7316443815943733,-0.020806511670826193,-0.9218979130744241,-0.22163795154063107,-0.3177748515944806,0.2786931228005667,-0.9491367903414939,-0.14652473007624078,-0.269136361669488,-0.2236425086094322,0.9367761990839598
-0.21676928954920416,0.7311769121007006,-0.02147125841641033,-0.9225066272921596,-0.2232574038087592,-0.31486132542218825,0.2809700400954461,-0.9477302192438396,-0.1512060451859884,-0.2646457238853627,-0.22795517799908963,0.9370160498372457
-0.2186939726675446,0.7307095524823377,-0.022124950333591305,-0.9230881132662931,-0.22490519923818547,-0.3119711308792969,0.28322196844967756,-0.9463132215977296,-0.15580950939148813,-0.26018003715497784,-0.232182983840242,0.9372285795264016
-0.22060521130539262,0.7302423047853901,-0.022767721603073898,-0.9236419407041282,-0.22657910370396983,-0.3091075462311091,0.28544904255184317,-0.9448868659919324,-0.16033606762728111,-0.2557428581183606,-0.23632756978535,0.937413926865183
-0.22250290504457415,0.7297751765556734,-0.02339971303681858,-0.9241677313423143,-0.2282768321257711,-0.30627388439144193,0.2876513988817487,-0.9434521781338608,-0.1647867115268914,-0.25133777485084213,-0.24039067263331287,0.9375722091892074
-0.22438695635500822,0.7293081807971395,-0.024021071889084526,-0.9246651585499183,-0.22999605038997906,-0.30347349368415116,0.2898291749787825,-0.9420101407823819,-0.16916247809214466,-0.2469684066737539,-0.24437412192817634,0.9377035217150782
-0.22625727067931106,0.728841335921507,-0.024631951667360666,-0.925133946785174,-0.23173437718064444,-0.3007097586351088,0.29198250873619735,-0.9405616937483098,-0.17346444836169492,-0.24263840400440195,-0.24827983946750332,0.9378079367419468
-0.22811375651274035,0.7283746656895251,-0.025232511943332474,-0.9255738709019226,-0.2334893857091666,-0.29798610079127397,0.29411153772202636,-0.9391077339596935,-0.17769374607980615,-0.23835144824904356,-0.2521098387176618,0.9378855027877008
-0.22995632547840295,0.7279081991443084,-0.02582291816401325,-0.9259847553016677,-0.23525860533254309,-0.29530597956339677,0.2962163985271617,-0.9376491155889913,-0.1818515363662907,-0.23411125174264594,-0.255866224133177,0.9379362436516261
-0.23178489239768824,0.7274419705371806,-0.026403341463159737,-0.926366472927065,-0.2370395230498849,-0.29267289308877303,0.2982972261410703,-0.9361866502391576,-0.185939024388449,-0.2299215577391827,-0.2595511903772901,0.9379601573950354
-0.23359937535589054,0.7269760192464751,-0.02697395847306822,-0.9267189440925376,-0.2388295848667988,-0.29009037911031205,0.3003541533555109,-0.9347211071856526,-0.18995745403569192,-0.2257861404561983,-0.2631670214407202,0.9379572152310113
-0.23539969576300168,0.7265103896897356,-0.027534951136842713,-0.9270421351475858,-0.24062619701714322,-0.28756201586800706,0.30238731019648707,-0.9332532136713552,-0.19390810659748403,-0.2217088051772835,-0.2667160896555635,0.9379273603140633
-0.2371857784096747,0.7260451312297656,-0.028086506521205947,-0.9273360569681999,-0.24242672703161997,-0.2850914229986726,0.30439682338461155,-0.9317836552513532,-0.19779229944511237,-0.21769338841597616,-0.2702008546010985,0.9378705064201598
-0.23895755151836223,0.7255802980749748,-0.028628816629914816,-0.9276007632716206,-0.24422850464260165,-0.28268226243955547,0.30638281582393573,-0.9303130761845735,-0.20161138471771006,-0.21374375814442714,-0.273623861898108,0.9377865365072491
-0.24071494678965905,0.7251159491744683,-0.02916207821783061,-0.9278363487495038,-0.24602882251460192,-0.2803382393311117,0.30834540611920863,-0.9288420798692261,-0.2053667480128917,-0.20986381408992197,-0.27698774188813635,0.9376753011460534
-0.2424578994438794,0.7246521481083199,-0.029686492605678603,-0.9280429470143319,-0.24782493678979167,-0.2780631029138704,0.3102847081214656,-0.9273712293190426,-0.2090598070822435,-0.2060574881020604,-0.28029520819383225,0.9375366168105892
-0.2441863482579208,0.7241889629734739,-0.030202265495527455,-0.9282207283536855,-0.24961406743802037,-0.27586064741387284,0.3122008305017295,-0.9259010476773075,-0.2126920105318834,-0.20232874459301153,-0.28354905615627046,0.9373702640175355
-0.2459002355974691,0.7237264662657055,-0.03070960678700326,-0.9283698972867301,-0.25139339840087893,-0.27373471291066287,0.3140938763525578,-0.9244320187657167,-0.21626483652819195,-0.1986815810528253,-0.28675216114477375,0.9371759853032681
-0.24759950744461917,0.7232647347580743,-0.03120873039424665,-0.9284906899169891,-0.2531600775194662,-0.27168918618121574,0.31596394281707785,-0.9229645876651194,-0.21977979150877938,-0.19512002864124292,-0.2899074767343787,0.9369534830270637
-0.24928411342098644,0.7228038493762909,-0.03169985406361373,-0.9285833710751634,-0.2549112162356819,-0.26972800151250675,0.31781112074509293,-0.921499161325245,-0.2232384088986884,-0.19164815285682626,-0.29301803274562377,0.9367024169886887
-0.25095400680640395,0.7223438950714128,-0.03218319919211195,-0.9286482312454234,-0.2566438890570911,-0.2678551414746374,0.3196354943757528,-0.920036109200573,-0.22664224783177425,-0.18827005428350685,-0.29608693314079704,0.9364224018483126
-0.25260914455329697,0.7218849606902791,-0.03265899064655705,-0.9286855832682347,-0.25835513277566824,-0.2660746376455403,0.32143714104626525,-0.9185757639095337,-0.22999289187716226,-0.18498986941382037,-0.29911735377019394,0.9361130043364285
-0.25424948729684654,0.7214271388440784,-0.033127456583431386,-0.9286957588123821,-0.2600419454310692,-0.2643905712772652,0.3232161309260125,-0.917118421914312,-0.23329194777064363,-0.18181177154714734,-0.30211253996123233,0.93577374024123
-0.2558749993610527,0.7209705257754417,-0.033588828269415096,-0.9286791046084468,-0.2617012850094855,-0.2628070738926895,0.32497252677544436,-0.915664344218572,-0.2365410441508107,-0.1787399717601987,-0.3050758039424902,0.9354040711606972
-0.25748564876081814,0.7205152212244359,-0.034043339902563134,-0.9286359784355448,-0.2633300678695993,-0.2613283278002032,0.3267063837290028,-0.9142137570805023,-0.23974183029974055,-0.1757787199457763,-0.30801052209387975,0.9350034010064776
