posx,posy,posz,tanx,tany,tanz,normx,normy,normz,binormx,binormy,binormz
-0.7620431400793339,0.09184595093338671,0.0040614063439477575,-0.10203726973296544,-0.9306354182091348,-0.35143436650411813,0.9924087717090702,-0.11961098074154114,0.02860145312639264,-0.06865293453550918,-0.3458481338112946,0.9357755301988335
-0.7623303520774409,0.08921629774937506,0.003067453603432545,-0.10123111724181247,-0.9304531361035308,-0.3521494319420078,0.992989658206699,-0.11621059133641788,0.021601785939665823,-0.06102294319776359,-0.34749397113668673,0.9356944695931135
-0.7626147045943544,0.08659260068699492,0.0020724613723127803,-0.10040797244992584,-0.9300223805511338,-0.35352031164064235,0.9935093843411916,-0.11280999550460932,0.014594798396568865,-0.0534541139154098,-0.34976031305488586,0.9353129856455895
-0.7628958487945502,0.08397875772112628,0.0010760044830315555,-0.09959654781479522,-0.9293879961311399,-0.35541311218175325,0.9939672888033598,-0.10941485428323768,0.007577496359377155,-0.04592990803685108,-0.3525143150419885,0.9346786085271259
-0.7631736507260841,0.0813772786573243,7.771561972949888e-05,-0.09882251649112894,-0.9286247733739047,-0.35761731013840015,0.9943628863618829,-0.10602900874916997,0.0005472930966866119,-0.03842603883339877,-0.35554729584111944,0.9338680634648782
-0.7634482086133639,0.07878885941326808,-0.0009226921349806328,-0.0981039023447943,-0.9278274016918272,-0.3598776695135666,0.9946959081127219,-0.10265392619833329,-0.006497831936483329,-0.03091398920441634,-0.35860630795603676,0.9329768706487903
-0.7637198307056985,0.07621226006819998,-0.001925416323188002,-0.09744811115750604,-0.9270960171924354,-0.3619348567598287,0.9949662965124709,-0.09928854417572694,-0.013559269881605645,-0.02336523991085972,-0.36143430924773584,0.932104771826923
-0.763988980147325,0.07364450347102386,-0.00293056950825692,-0.0968511866546599,-0.926518860243433,-0.3635693183655548,0.995174158219297,-0.09592953387249444,-0.020637813438429,-0.01575571185625836,-0.363813587080274,0.9313385160078405
-0.7642561980976106,0.07108136090064715,-0.00393819460955688,-0.0962995613879071,-0.9261553667323363,-0.3646404134889442,0.9953196845753851,-0.09257193842448277,-0.027733764856034356,-0.008069694743467599,-0.36560453072852545,0.9307353045509351
-0.7645220190168378,0.06851804662261701,-0.004948286878331741,-0.0957740424229048,-0.9260240180192808,-0.3651121072347539,0.9954030547114664,-0.08921008318206801,-0.034847090692477045,-0.0003024385178626577,-0.36677115359591067,0.9303111465638084
-0.7647868923923751,0.06595001104805798,-0.005960817053491659,-0.09525515775424098,-0.9260985315856074,-0.36505885103116775,0.9954243390977418,-0.08583861310128382,-0.04197758488374404,0.0075392342474819305,-0.36738704698972424,0.9300375893753605
-0.7650511232732067,0.06337370744178972,-0.006975749986843617,-0.09472854802909848,-0.9263135262675252,-0.364650179270656,0.9953834215062505,-0.08245349340454151,-0.0491249999073494,0.015438470740610756,-0.36762028300844607,0.9298478268738285
-0.7653148401632347,0.06078721188585934,-0.007993053767660347,-0.09418904537049638,-0.9265778161335118,-0.36411807752629743,0.9952799546907175,-0.07905281632671413,-0.05628911103986155,0.023371682075489016,-0.367701241336043,0.929650236162448
-0.7655779937288564,0.05819059959294742,-0.009012696020690318,-0.09364247061719101,-0.9267915053926158,-0.36371498900759863,0.995113359925824,-0.07563728784182422,-0.06346969028655156,0.03131275449152253,-0.3678811033744762,0.9293454713862503
-0.7658403842683623,0.05558601892608955,-0.010034626361720292,-0.09310481716399162,-0.9268628763783099,-0.3636711445971286,0.9948828736123863,-0.07221031872678252,-0.07066638282901613,0.03923723758906023,-0.3683895740396332,0.9288431304183056
-0.7661017109521605,0.052977451595968394,-0.011058746613154914,-0.09259910319035859,-0.9267223246936109,-0.36415812362600253,0.9945876365588849,-0.06877770617201542,-0.07787849727573892,0.04712578161211614,-0.36939864651645027,0.9280753205743927
-0.7663616323911824,0.05037019612711674,-0.01208487288567261,-0.09215058093066895,-0.9263322484792931,-0.36526269431935904,0.9942268145863942,-0.0653469557045784,-0.08510473863149715,0.054966458786535194,-0.37099641616522544,0.9270061205844474
-0.7666198267650716,0.047770154272342435,-0.013112695598365724,-0.09178117081105758,-0.9256928986057936,-0.36697257956876744,0.9937997339671083,-0.06192634856281952,-0.09234292674905442,0.06275591965270215,-0.3731725938818125,0.9256370291448283
-0.7668760407314299,0.045183030045788386,-0.01414174458556195,-0.09150403041060755,-0.9248443861586585,-0.3691745844575824,0.9933060127184191,-0.05852389830110288,-0.09958975060254902,0.07049948592756088,-0.37581619805226096,0.9240086621701625
-0.767130119325205,0.042613563858258374,-0.015171366399446747,-0.09131916901417586,-0.9238645597127334,-0.3716652858115181,0.9927456692233938,-0.05514635640648915,-0.10684060844680812,0.07821026536686933,-0.37872569847039106,0.9221984600449941
-0.7673820133061148,0.04006491798022571,-0.01620071971016096,-0.09121099803233527,-0.9228619031466256,-0.3741743731985572,0.9921191927888747,-0.05179841773257451,-0.1140895754236687,0.08590728221691432,-0.3816318011395141,0.9203135917833193
-0.7676317649697874,0.03753830530761254,-0.017228792461584666,-0.09114859317083261,-0.9219626443511377,-0.3763998092242285,0.9914275659445545,-0.048482244168562914,-0.12132952437735674,0.09361258167700412,-0.38423216213825395,0.9184782687305829
-0.7678794773859887,0.035032915035692835,-0.018254441466369512,-0.0910891185924319,-0.9212923690328699,-0.37805177322141503,0.9906722346951622,-0.04519737439062853,-0.12855240469274304,0.10134740193092016,-0.3862351202441275,0.9168157590333278
-0.7681252746839801,0.03254614240805914,-0.0192764518526761,-0.0909842583525778,-0.9209545072800763,-0.3788992745473963,0.9898550297008344,-0.04194102683736286,-0.13574966093433882,0.10912783745677176,-0.3874064348824623,0.9154274243781803
-0.7683692620315526,0.030074082476310215,-0.02029361070771549,-0.09078869511160093,-0.9210102443792483,-0.37881069492348035,0.9889780476721433,-0.03870874180249297,-0.1429127514627851,0.11696082276783457,-0.38761032372286636,0.9143732295298929
-0.7686114933477948,0.027612207144076917,-0.02130478688723003,-0.09046892883370264,-0.921465343725438,-0.37777902698355686,0.988043507391194,-0.03549525635456638,-0.150033710473451,0.12484150118366137,-0.38683550391514504,0.9136590679749891
-0.768851952806908,0.025156116980185106,-0.022309007672741334,-0.09001038357618615,-0.9222680470045548,-0.37592523235727643,0.9870535980464437,-0.03229547078279245,-0.15710568783620665,0.13275287353589665,-0.38519949641883255,0.9132349218720451
-0.7690905532542036,0.02270224864215964,-0.02330552299989058,-0.0894210415723002,-0.9233188729735673,-0.3734784279378753,0.9860103384601432,-0.029105352773802235,-0.16412340140768006,0.14066801261779058,-0.3829296766388499,0.9130045854076675
-0.7693271512828682,0.020248426838796907,-0.024293849391848272,-0.08873071578132384,-0.9244893476385329,-0.3707375165529029,0.9849154640046307,-0.02592263730981231,-0.17108344642146672,0.1485543295951922,-0.3803254697989393,0.9128439889601833
-0.769561575476057,0.017794175241605203,-0.025273788339679873,-0.08798617923855642,-0.9256443680385478,-0.36802301039679314,0.9837703536522725,-0.022747214294783755,-0.17798442492732297,0.15637878224964896,-0.37771029660355404,0.9126229277756351
-0.7697936617695955,0.015340739582365592,-0.026245417313254037,-0.08724327554514559,-0.926662944291028,-0.3656287715019658,0.9825760032717608,-0.019581146656135886,-0.18482688248770443,0.16411279251370525,-0.37538295962059054,0.9122250955547319
-0.7700232885293552,0.012890822223406595,-0.02720905535858329,-0.08655757149015995,-0.9274539263091789,-0.3637815297557231,0.981333043997422,-0.01642832106582905,-0.1916130659055163,0.1717359705375651,-0.373576397595788,0.9115631802474661
-0.7702504040783638,0.010448073510737899,-0.02816520877170112,-0.08597510138850277,-0.9279656130083712,-0.3626128831346654,0.980041797529675,-0.013293792109641977,-0.19834654064578255,0.17923826889378328,-0.3724286457367954,0.910588022542915
-0.7704750410794767,0.00801642397748814,-0.029114505087941688,-0.08552451799365828,-0.9281896633633506,-0.3621456967125002,0.9787023548004797,-0.010182929498735,-0.20503172597142036,0.1866206246103258,-0.3719680856904979,0.9092922993723186
-0.770697315065065,0.005599366855851662,-0.03005762514840637,-0.08521173787000985,-0.928160070938601,-0.36229524209465397,0.9773146614582099,-0.007100509131323742,-0.2116734165380731,0.19389433263506572,-0.37211351155974864,0.9077094922312289
-0.7709174078876464,0.0031993083764179087,-0.030995243040487445,-0.0850180271128347,-0.9279474836464858,-0.3628848338798361,0.9758785934935975,-0.004049897598091224,-0.21827635944005244,0.2010793520647988,-0.3726889667317774,0.9059083994806543
-0.7711355401645115,0.0008170927082422064,-0.03192798221949687,-0.08490230032639501,-0.9276486161856305,-0.36367519064155507,0.9743940089261309,-0.001032464720117304,-0.22484494520772444,0.20820162047436017,-0.37345278002109783,0.9039829126296381
-0.7713519391649362,-0.001548219224984826,-0.03285639330403228,-0.08480797848320012,-0.9273706820031105,-0.3644053031264483,0.9728607662751731,0.0019526777144192365,-0.23138305143684698,0.2152894243293808,-0.3741387512819666,0.902036949665087
-0.771566809532021,-0.0038992781013724165,-0.03378095531281134,-0.0846739114800368,-0.9272120352864283,-0.36483992426086004,0.9712787067838755,0.004908564942015269,-0.23789405149867152,0.22236906813429194,-0.37450466967744106,0.900165679154053
-0.7717803135799515,-0.00624008940480808,-0.03470209804480365,-0.08444770972950486,-0.9272421975219733,-0.36481569518876644,0.9696476041703023,0.007839909407786103,-0.2443809721465044,0.22946047164649938,-0.3743800782027529,0.8984361129188134
-0.7719925658492606,-0.00857542478530382,-0.03562023953792052,-0.08409875738321348,-0.9274860237752552,-0.36427609681142437,0.9679670921388535,0.010752343170758884,-0.2508467573092996,0.23657368311553978,-0.37370317474956655,0.8968716907335426
-0.772203643587088,-0.010910092324143361,-0.036535829686678546,-0.08362777161554481,-0.927916635466939,-0.3632865445324588,0.9662365850878882,0.013651490041285934,-0.2572945752582995,0.24370731924239447,-0.3725377221750417,0.8954453574084335
-0.7724136114280022,-0.013248179752013145,-0.03744938964323345,-0.08307040361574838,-0.9284594294319419,-0.3620254078680524,0.9644552105436552,0.016542012987610384,-0.26372809607910874,0.2508494666095799,-0.3710652903536395,0.8940833827985276
-0.772622555380716,-0.015592390071262119,-0.038361536850493046,-0.08249390511871704,-0.9290059282860753,-0.36075301915242725,0.9626217721551598,0.019426787450098924,-0.2701516679612186,0.25798077329739916,-0.3695545766712897,0.8926787414687211
-0.7728306188159366,-0.017943575569202785,-0.039272987486014745,-0.08198766360048744,-0.9294333395414894,-0.3597661606739684,0.9607347592625313,0.022306332506854796,-0.2765703344085547,0.26507875313215756,-0.36831521130527306,0.8911100716292307
-0.7730380319423529,-0.020300545864116504,-0.04018453148864268,-0.0816496850035007,-0.9296248726923688,-0.359347916385397,0.9587924132731487,0.02517859219799797,-0.28298965837072343,0.27212209978000884,-0.36764607242105024,0.8892614510056616
-0.7732451265607417,-0.02266018305457379,-0.04109697971542743,-0.08157148563593,-0.9294871388776396,-0.3597217694165963,0.9567928530875452,0.02803910487312907,-0.2894153501086438,0.2790941221375732,-0.3677872581520101,0.8870394600745134
-0.7734523298199181,-0.025017848862576075,-0.04201108748186517,-0.0818235026860337,-0.9289631337060171,-0.3610158038414455,0.9547342528297614,0.03088153764664627,-0.2958527287455294,0.2859850011482872,-0.3688818602854785,0.884386087786629
-0.7736601341172831,-0.02736802242875802,-0.04292746304503444,-0.08244254676364537,-0.9280409794277666,-0.36323982020956314,0.9526150566033955,0.03369850543590397,-0.3023060777819328,0.2927930675675803,-0.3709506048440114,0.881287619537588
-0.7738690447256236,-0.029705070450476434,-0.043846472801566144,-0.08342247035941026,-0.9267590067533008,-0.3662764459268006,0.9504342082784764,0.0364825487049502,-0.3087779774758178,0.2995254699907826,-0.373880685569108,0.8777799985105463
-0.7740795114181317,-0.03202402957479683,-0.04476815653780452,-0.08470927696960122,-0.9252069597880059,-0.3698870367492251,0.9481913704236512,0.03922711819795467,-0.315268708012708,0.3061984053671832,-0.37742988058408794,0.8739503543067394
-0.7742918543552026,-0.03432127795624473,-0.04569216566915062,-0.08620213642101748,-0.9235218115362643,-0.37373340136149025,0.9458871059512404,0.04192741289473526,-0.3217758145714832,0.31283665781305026,-0.3812473680758084,0.8699331410307517
